,cod_ibge,cod_caixa
0,7905,411
1,7910,393
2,4041,40410
3,7000,55
4,7005,43
5,7010,65
6,8630,7334
7,7015,119
8,6315,159
9,8000,183
10,7300,225
11,8200,234
12,4055,40553
13,1300,13003
14,4223,4223
15,9702,38470
16,9400,10658
17,9840,253
18,4242,42428
19,9200,10527
20,9215,1443
21,7020,301
22,6200,12889
23,9600,3332
24,3984,42422
25,6250,333
26,1000,337
27,3954,39844
28,365,0
29,2000,366
30,6430,367
31,2001,370
32,364,0
33,1381,1381
34,7915,1092
35,9800,378
36,1010,0
37,7315,480
38,9480,11360
39,9845,4757
40,501,501
41,8640,509
42,9885,11653
43,9850,518
44,8440,377
45,7920,7588
46,9855,247
47,8445,10420
48,9605,10790
49,1020,0
50,8410,20238
51,6205,20
52,6210,43055
53,1195,0
54,6255,546
55,8495,36081
56,8491,36080
57,8020,603
58,8025,11190
59,9000,10535
60,9250,7370
61,6605,7266
62,6600,650
63,8675,715
64,6840,712
65,6601,34600
66,3617,36170
67,9410,729
68,9615,1383
69,1075,0
70,9610,743
71,9415,10592
72,7600,764
73,7030,792
74,7025,812
75,6290,4375
76,7800,841
77,7805,979
78,981,981
79,7810,857
80,7815,901
81,1105,938
82,9598,39598
83,7820,11901
84,8475,5090
85,2559,2559
86,6805,11871
87,6800,34636
88,3710,37105
89,8415,1030
90,7830,1062
91,8800,20962
92,8420,11712
93,6440,1106
94,6445,11161
95,9635,1133
96,9425,41992
97,9421,37745
98,9440,10627
99,6275,3124
100,7201,38041
101,9010,3353
102,9645,1143
103,6225,2798
104,9445,13441
105,1159,1159
106,6260,592
107,7035,1183
108,7321,1172
109,8826,12895
110,1045,0
111,8205,10710
112,2510,0
113,9805,1213
114,9700,25931
115,7326,1253
116,2711,2711
117,9455,14615
118,9424,37727
119,9422,0
120,9442,0
121,7835,0
122,6405,1287
123,1055,0
124,3941,39412
125,8050,1338
126,6000,1363
127,6005,1347
128,6015,11134
129,6001,34514
130,6265,11049
131,6266,11112
132,6010,1350
133,7840,12081
134,8426,1368
135,8425,0
136,8855,12764
137,502,11109
138,8665,497
139,6455,1379
140,7331,1384
141,7040,1402
142,9220,1509
143,9090,11281
144,7336,1472
145,9230,748
146,9005,1507
147,9006,13803
148,8670,1518
149,2042,34492
150,6460,1524
151,7925,2558
152,8830,13244
153,1539,1539
154,7930,11856
155,3884,38844
156,7466,8342
157,6825,1607
158,9405,13761
159,9460,10667
160,9650,10775
161,7950,1612
162,9458,38200
163,6215,10970
164,7340,1646
165,7045,1725
166,1080,0
167,1085,1085
168,7060,1823
169,7055,1870
170,1926,1926
171,7050,1922
172,1927,38025
173,7351,2333
174,9860,2355
175,8860,2365
176,9655,2758
177,9701,38140
178,7845,2369
179,1090,2370
180,7850,2368
181,8055,2404
182,1095,0
183,8480,2418
184,3965,39650
185,9810,2436
186,8880,10997
187,7605,2440
188,1160,0
189,7065,2673
190,7610,21128
191,2446,2446
192,9075,11651
193,9465,10634
194,8650,2691
195,506,506
196,503,503
197,504,504
198,508,508
199,505,505
200,8635,626
201,8861,37532
202,9815,2696
203,9865,2706
204,7636,13058
205,6485,25935
206,6320,2709
207,9435,13529
208,9245,2757
209,7356,2869
210,2015,0
211,9235,2719
212,9470,10685
213,8885,12
214,9660,3291
215,9020,4098
216,7292,7292
217,9475,11359
218,9441,0
219,9025,20219
220,8865,2759
221,3812,38124
222,3961,39616
223,6220,2763
224,6221,38538
225,7471,12321
226,8805,10892
227,7070,3068
228,9680,6062
229,3103,3103
230,8485,3080
231,9820,4083
232,6325,3123
233,6475,20250
234,6296,37394
235,6295,14146
236,7825,928
237,8890,20111
238,7675,3146
239,9240,4099
240,7075,3251
241,6330,10814
242,8060,11587
243,8061,36230
244,7310,446
245,6810,11887
246,7379,12473
247,7855,3292
248,7860,3303
249,6230,3309
250,4222,4222
251,1110,0
252,4226,4226
253,9665,10798
254,9485,3318
255,6335,3322
256,6345,25930
257,7365,11284
258,9490,14254
259,9255,3366
260,9260,3372
261,9035,3363
262,9030,3365
263,9265,3362
264,9705,25932
265,9280,4091
266,7865,3380
267,7370,3385
268,7375,10921
269,7680,12769
270,7885,3389
271,8655,123
272,8645,1371
273,1115,0
274,7870,3406
275,3479,34397
276,2020,0
277,2025,0
278,8005,3428
279,8040,597
280,8041,36896
281,1520,0
282,7081,21118
283,7080,3475
284,7085,3508
285,7410,4277
286,3529,3529
287,7090,3653
288,7381,3607
289,7391,3720
290,8215,3671
291,8401,34472
292,3104,3104
293,2525,0
294,6410,3731
295,1120,0
296,6830,3736
297,3819,38194
298,7890,3749
299,9045,746
300,9436,37768
301,9206,41805
302,1001,0
303,9620,745
304,9225,3355
305,7247,72471
306,9670,3346
307,9290,4778
308,3335,3335
309,9685,7247
310,8895,3777
311,7895,3780
312,7396,3942
313,7105,3825
314,7100,3846
315,8825,12892
316,4035,40354
317,6020,3989
318,6025,20197
319,6035,4004
320,6056,21138
321,6030,20198
322,8901,37458
323,8810,21029
324,8900,20185
325,9466,37515
326,9495,12898
327,8660,4016
328,3969,39696
329,9675,4035
330,9050,14647
331,9406,38412
332,9270,10754
333,9275,4040
334,9055,40703
335,8601,4047
336,8600,4047
337,4066,0
338,7670,7706
339,6450,4746
340,9870,4058
341,6845,4059
342,9060,10608
343,2530,0
344,9071,37514
345,2700,2700
346,9500,4087
347,9065,4090
348,9285,4260
349,9016,14203
350,4093,4093
351,6850,4102
352,6340,360
353,7110,4210
354,8870,4221
355,8875,4227
356,4234,4234
357,9295,6043
358,9070,4262
359,8840,11851
360,8430,4267
361,7456,7376
362,6305,4299
363,552,40552
364,6310,428
365,6300,4329
366,6415,4385
367,7875,4274
368,6420,4396
369,1056,0
370,3959,39594
371,1530,4430
372,1525,0
373,6070,6204
374,6040,4408
375,6045,4466
376,6050,3288
377,6055,4115
378,6060,2745
379,1535,0
380,9040,13871
381,8225,10731
382,6467,0
383,6466,0
384,6464,0
385,6465,4718
386,9825,4750
387,259,20259
388,3970,39705
389,3942,39422
390,9205,10526
391,8405,1746
392,1025,541
393,9830,4783
394,8230,4786
395,8210,10840
396,712,36170
397,8235,4790
398,4054,40542
399,3951,39514
400,6425,4812
401,8220,4818
402,8835,4813
403,8845,3408
404,7421,4833
405,8836,37539
406,7115,4895
407,7120,4902
408,9432,13950
409,8026,39022
410,4917,4917
411,8030,4929
412,8045,4922
413,8035,4910
414,8036,0
415,8037,8037
416,1516,11365
417,4969,4969
418,1515,10554
419,8010,4981
420,8015,4998
421,4948,4948
422,6855,5052
423,6860,5033
424,6270,5061
425,511,511
426,3901,39015
427,3979,39797
428,3937,39374
429,1005,0
430,6435,371
431,8850,1
432,7130,11321
433,7125,20032
434,7426,5138
435,7430,5444
436,1135,0
437,8450,6005
438,7135,6029
439,6031,6031
440,8815,10904
441,8400,11816
442,9430,1149
443,9080,6046
444,6400,536
445,9085,10559
446,9086,9086
447,3982,39829
448,9505,10642
449,9506,13600
450,9640,1147
451,3839,38393
452,8435,11757
453,8436,11758
454,6470,6076
455,8490,25934
456,9890,27367
457,4086,6087
458,6085,6085
459,8605,6083
460,8656,38123
461,7140,6105
462,7145,12817
463,9835,6111
464,6222,0
465,8455,6136
466,3863,6148
467,7,7
468,9875,6160
469,1140,0
470,8610,5318
471,7900,13329
472,8820,21040
473,6811,11895
474,7095,3729
475,1540,6212
476,6075,6180
477,6080,0
478,9456,10742
479,9300,10811
480,7150,6249
481,6243,6243
482,9443,37736
483,6815,6253
484,9510,14405
485,6820,20234
486,7940,14250
487,8411,8411
488,7945,13304
489,7451,6721
490,7160,7048
491,7191,20179
492,7155,7138
493,6235,7156
494,6280,7158
495,6285,7170
496,6286,37524
497,6615,7177
498,7361,3183
499,7183,7183
500,6635,7180
501,6640,11088
502,6645,7175
503,6655,7238
504,6625,7173
505,6631,0
506,6621,7173
507,6620,0
508,6630,0
509,6660,7184
510,8680,7245
511,6835,7186
512,6651,25007
513,6480,13148
514,6650,14172
515,7880,4126
516,6316,38128
517,6610,0
518,7165,7274
519,8615,7287
520,8620,7344
521,9105,13726
522,7935,7528
523,9880,7592
524,8460,13415
525,7606,40329
526,8465,11832
527,7611,7611
528,7955,12076
529,9095,7624
530,9305,7626
531,9100,7640
532,9625,4084
533,9310,7641
534,6240,11421
535,7693,7693
536,7630,21019
537,7211,21123
538,9450,10744
539,7615,7695
540,7620,21010
541,7625,21001
542,7635,21148
543,1175,0
544,3973,39734
545,8065,11586
546,1620,0
547,7640,12713
548,3966,39664
549,7655,7725
550,7660,7796
551,1170,0
552,7185,38052
553,3805,38052
554,7665,9813
555,7170,36365
556,7175,9850
557,7180,9825
558,7210,9867
559,9868,9868
560,7215,9876
561,7195,36084
562,7190,9836
563,7205,9856
564,7200,9860
565,1185,0
566,3971,39712
567,7465,7903
568,7469,9769
569,7490,9782
570,7468,9326
571,7467,8613
572,7494,5467
573,7493,5457
574,1180,0
575,3878,38787
576,3627,36274
577,7202,38032
578,7171,9830
579,7220,9892
580,9520,9914
581,9515,9912
582,7496,10178
583,8470,10228
584,7650,10229
585,7495,10290
586,7645,10404
587,7415,4522
588,7346,1677
589,7491,5907
590,7492,5850
591,7501,10260
592,9210,10532
593,9420,13598
594,9315,10435
595,9690,1160
596,9446,10615
597,7510,10438
598,8625,40514
599,9695,10487
600,9525,11652
601,9530,10488
602,2040,0
603,8685,10490
604,8690,5031
605,4027,40270
606,6245,40313
607,,
